Algorithm,Scenario,Perc,Accuracy,Precision,Recall,F1_Macro,Kappa
HAT,chunks_scenario_1,100,0.7978 ± 0.0111,0.7786 ± 0.0117,0.7792 ± 0.0136,0.7785 ± 0.0123,0.6841 ± 0.0174
HAT,chunks_scenario_2,100,0.8141 ± 0.0153,0.7989 ± 0.0170,0.8091 ± 0.0165,0.7997 ± 0.0152,0.7137 ± 0.0232
HAT,chunks_scenario_3,100,0.8148 ± 0.0191,0.7906 ± 0.0205,0.7995 ± 0.0208,0.7921 ± 0.0230,0.7120 ± 0.0296
HAT,chunks_scenario_4,100,0.8017 ± 0.0266,0.7913 ± 0.0207,0.7980 ± 0.0238,0.7924 ± 0.0217,0.6725 ± 0.0855
OSNN,chunks_scenario_1,25,0.4998 ± 0.0239,0.3290 ± 0.0218,0.4496 ± 0.0248,0.3686 ± 0.0105,0.1752 ± 0.0293
OSNN,chunks_scenario_1,50,0.4972 ± 0.0183,0.3246 ± 0.0138,0.4452 ± 0.0224,0.3659 ± 0.0073,0.1688 ± 0.0288
OSNN,chunks_scenario_1,75,0.4956 ± 0.0230,0.3224 ± 0.0149,0.4414 ± 0.0233,0.3626 ± 0.0125,0.1625 ± 0.0298
OSNN,chunks_scenario_2,25,0.5282 ± 0.0614,0.3445 ± 0.0489,0.4560 ± 0.0689,0.3794 ± 0.0562,0.1968 ± 0.1214
OSNN,chunks_scenario_2,50,0.5284 ± 0.0568,0.3435 ± 0.0494,0.4579 ± 0.0653,0.3793 ± 0.0551,0.2014 ± 0.1144
OSNN,chunks_scenario_2,75,0.5407 ± 0.0523,0.3600 ± 0.0426,0.4780 ± 0.0569,0.3986 ± 0.0452,0.2276 ± 0.1033
OSNN,chunks_scenario_3,25,0.4406 ± 0.0996,0.2927 ± 0.0503,0.4336 ± 0.0684,0.3323 ± 0.0707,0.1435 ± 0.1113
OSNN,chunks_scenario_3,50,0.5203 ± 0.0278,0.3303 ± 0.0267,0.4619 ± 0.0497,0.3775 ± 0.0334,0.1991 ± 0.0746
OSNN,chunks_scenario_3,75,0.5316 ± 0.0251,0.3442 ± 0.0212,0.4785 ± 0.0455,0.3928 ± 0.0256,0.2177 ± 0.0684
OSNN,chunks_scenario_4,25,0.5047 ± 0.0853,0.3294 ± 0.0823,0.4377 ± 0.0763,0.3657 ± 0.0783,0.2103 ± 0.0614
OSNN,chunks_scenario_4,50,0.5203 ± 0.0804,0.3406 ± 0.0833,0.4473 ± 0.0765,0.3757 ± 0.0789,0.2303 ± 0.0608
OSNN,chunks_scenario_4,75,0.5166 ± 0.0772,0.3382 ± 0.0787,0.4407 ± 0.0749,0.3719 ± 0.0753,0.2223 ± 0.0612
OzaBoostADWIN,chunks_scenario_1,100,0.7970 ± 0.0116,0.7770 ± 0.0112,0.7756 ± 0.0151,0.7757 ± 0.0131,0.6822 ± 0.0184
OzaBoostADWIN,chunks_scenario_2,100,0.8134 ± 0.0129,0.7977 ± 0.0167,0.8060 ± 0.0154,0.7979 ± 0.0134,0.7123 ± 0.0201
OzaBoostADWIN,chunks_scenario_3,100,0.8133 ± 0.0126,0.7941 ± 0.0133,0.8075 ± 0.0110,0.7960 ± 0.0140,0.7114 ± 0.0191
OzaBoostADWIN,chunks_scenario_4,100,0.8101 ± 0.0179,0.8004 ± 0.0124,0.8079 ± 0.0164,0.8018 ± 0.0138,0.6878 ± 0.0645
SLEADE,chunks_scenario_1,25,0.7599 ± 0.0336,0.7426 ± 0.0325,0.7182 ± 0.0315,0.7249 ± 0.0321,0.6174 ± 0.0506
SLEADE,chunks_scenario_1,50,0.8258 ± 0.0157,0.8109 ± 0.0148,0.7972 ± 0.0118,0.8017 ± 0.0127,0.7255 ± 0.0214
SLEADE,chunks_scenario_1,75,0.8391 ± 0.0184,0.8274 ± 0.0205,0.8084 ± 0.0185,0.8145 ± 0.0195,0.7453 ± 0.0269
SLEADE,chunks_scenario_2,25,0.7762 ± 0.0288,0.7622 ± 0.0395,0.7368 ± 0.0293,0.7410 ± 0.0281,0.6441 ± 0.0444
SLEADE,chunks_scenario_2,50,0.8382 ± 0.0148,0.8301 ± 0.0152,0.8108 ± 0.0179,0.8165 ± 0.0144,0.7439 ± 0.0227
SLEADE,chunks_scenario_2,75,0.8610 ± 0.0119,0.8495 ± 0.0110,0.8343 ± 0.0191,0.8393 ± 0.0147,0.7804 ± 0.0190
SLEADE,chunks_scenario_3,25,0.8020 ± 0.0121,0.7819 ± 0.0185,0.7724 ± 0.0199,0.7720 ± 0.0125,0.6872 ± 0.0203
SLEADE,chunks_scenario_3,50,0.8261 ± 0.0127,0.8057 ± 0.0179,0.7961 ± 0.0140,0.7991 ± 0.0134,0.7241 ± 0.0207
SLEADE,chunks_scenario_3,75,0.8555 ± 0.0123,0.8394 ± 0.0143,0.8295 ± 0.0159,0.8330 ± 0.0131,0.7706 ± 0.0205
SLEADE,chunks_scenario_4,25,0.7757 ± 0.0276,0.7662 ± 0.0215,0.7604 ± 0.0255,0.7597 ± 0.0228,0.6227 ± 0.1026
SLEADE,chunks_scenario_4,50,0.8466 ± 0.0199,0.8392 ± 0.0108,0.8374 ± 0.0159,0.8363 ± 0.0144,0.7438 ± 0.0633
SLEADE,chunks_scenario_4,75,0.8839 ± 0.0082,0.8774 ± 0.0037,0.8772 ± 0.0057,0.8766 ± 0.0040,0.8069 ± 0.0384
SRP,chunks_scenario_1,100,0.8747 ± 0.0215,0.8635 ± 0.0191,0.8636 ± 0.0198,0.8630 ± 0.0197,0.8044 ± 0.0319
SRP,chunks_scenario_2,100,0.8687 ± 0.0090,0.8571 ± 0.0091,0.8547 ± 0.0102,0.8552 ± 0.0085,0.7946 ± 0.0140
SRP,chunks_scenario_3,100,0.8891 ± 0.0085,0.8716 ± 0.0113,0.8747 ± 0.0106,0.8729 ± 0.0109,0.8255 ± 0.0140
SRP,chunks_scenario_4,100,0.8738 ± 0.0357,0.8634 ± 0.0324,0.8661 ± 0.0351,0.8642 ± 0.0336,0.7848 ± 0.0966
