Algorithm,Scenario,Perc,Time_s
HAT,chunks_scenario_1,100,2.375566005706787
HAT,chunks_scenario_2,100,2.277065110206604
HAT,chunks_scenario_3,100,1.1766141414642335
HAT,chunks_scenario_4,100,1.0939477443695067
OSNN,chunks_scenario_1,25,160.6544249892235
OSNN,chunks_scenario_1,50,161.52571544647216
OSNN,chunks_scenario_1,75,175.48634608983994
OSNN,chunks_scenario_2,25,165.62402737140656
OSNN,chunks_scenario_2,50,710.7692002177239
OSNN,chunks_scenario_2,75,164.98170558214187
OSNN,chunks_scenario_3,25,154.09681215286255
OSNN,chunks_scenario_3,50,163.4366596698761
OSNN,chunks_scenario_3,75,175.40108358860016
OSNN,chunks_scenario_4,25,133.6071573972702
OSNN,chunks_scenario_4,50,120.84044625759125
OSNN,chunks_scenario_4,75,115.22424693107605
OzaBoostADWIN,chunks_scenario_1,100,4.120698428153991
OzaBoostADWIN,chunks_scenario_2,100,4.722774958610534
OzaBoostADWIN,chunks_scenario_3,100,2.7732000827789305
OzaBoostADWIN,chunks_scenario_4,100,2.2401660442352296
SLEADE,chunks_scenario_1,25,43.007837128639224
SLEADE,chunks_scenario_1,50,31.112948083877562
SLEADE,chunks_scenario_1,75,17.98498570919037
SLEADE,chunks_scenario_2,25,34.355224061012265
SLEADE,chunks_scenario_2,50,30.176617002487184
SLEADE,chunks_scenario_2,75,19.7841854095459
SLEADE,chunks_scenario_3,25,27.240356302261354
SLEADE,chunks_scenario_3,50,19.712016296386718
SLEADE,chunks_scenario_3,75,14.409284257888794
SLEADE,chunks_scenario_4,25,28.898498821258546
SLEADE,chunks_scenario_4,50,21.60615038871765
SLEADE,chunks_scenario_4,75,16.243882799148558
SRP,chunks_scenario_1,100,4.364569437503815
SRP,chunks_scenario_2,100,3.263085651397705
SRP,chunks_scenario_3,100,2.328144574165344
SRP,chunks_scenario_4,100,1.984246587753296
