Algorithm,Scenario,Perc,Chunk,Accuracy,Precision,Recall,F1_Macro,Kappa,Time_s,Predictions_OK
HAT,chunks_scenario_1,100,1,0.7873015873015873,0.7803203481405895,0.7653757219596914,0.7709691098361011,0.668910015060241,0.03999924659729,True
HAT,chunks_scenario_1,100,10,0.818864229765013,0.799411564574883,0.8046432542795489,0.8017460107412169,0.717536703186308,4.788044691085815,True
HAT,chunks_scenario_1,100,2,0.7896296296296297,0.7839998651788336,0.7755391551063594,0.7788551599335806,0.6766957870948157,0.549004316329956,True
HAT,chunks_scenario_1,100,3,0.7936507936507936,0.7668375963479056,0.764849613136747,0.7658073062529454,0.6722740303304082,1.0797131061553955,True
HAT,chunks_scenario_1,100,4,0.7979120059656972,0.7740639281160719,0.778973169508331,0.7762840632925339,0.6832122387604332,1.5846316814422607,True
HAT,chunks_scenario_1,100,5,0.7819277108433735,0.758080829624574,0.7623731500924483,0.7599589402286094,0.6587190435137196,2.096414089202881,True
HAT,chunks_scenario_1,100,6,0.7991718426501035,0.7781648305975896,0.781696078740776,0.7797950470792356,0.6859098635857216,2.6294503211975098,True
HAT,chunks_scenario_1,100,7,0.7957523723452327,0.7738887526021729,0.7785245116173803,0.7759376920898079,0.6814765728566183,3.1388118267059326,True
HAT,chunks_scenario_1,100,8,0.8020366598778004,0.7796846917915534,0.7837392035508008,0.7815410275277825,0.6898586242140735,3.6785478591918954,True
HAT,chunks_scenario_1,100,9,0.8117774566473989,0.7915402190796493,0.7962656449508319,0.7936650891425643,0.7062424657472859,4.171042919158936,True
OzaBoostADWIN,chunks_scenario_1,100,1,0.780952380952381,0.7703151749880721,0.7527363786905772,0.7585376522627959,0.6578943226354808,0.4445154666900635,True
OzaBoostADWIN,chunks_scenario_1,100,10,0.8149477806788512,0.7941865763820966,0.7974551178939416,0.7953981419481987,0.7108372611557202,7.628381967544556,True
OzaBoostADWIN,chunks_scenario_1,100,2,0.7881481481481482,0.7833495221383759,0.7716093230602526,0.775847347514571,0.6737322796319707,1.2582552433013916,True
OzaBoostADWIN,chunks_scenario_1,100,3,0.7936507936507936,0.7670358710444098,0.7614911253901839,0.764024719425369,0.6711544976598869,2.0401928424835205,True
OzaBoostADWIN,chunks_scenario_1,100,4,0.7971662938105891,0.7730783235857915,0.7754928343163637,0.7741512914708184,0.6812018036143958,2.941962957382202,True
OzaBoostADWIN,chunks_scenario_1,100,5,0.7807228915662651,0.7561748006436181,0.7577703016299507,0.7568479812116508,0.6558358784147854,3.6210219860076895,True
OzaBoostADWIN,chunks_scenario_1,100,6,0.8002070393374742,0.7789732205074844,0.7795515314331976,0.779237021939561,0.6865729603235844,4.662582635879517,True
OzaBoostADWIN,chunks_scenario_1,100,7,0.798463624039765,0.7757241687466679,0.7791513148078004,0.7772963194394946,0.6851709139439903,5.491972208023071,True
OzaBoostADWIN,chunks_scenario_1,100,8,0.8040733197556008,0.7804999254758586,0.7851463995417968,0.7824692537483692,0.6932702343121319,6.155639171600342,True
OzaBoostADWIN,chunks_scenario_1,100,9,0.8117774566473989,0.7907890017747724,0.7959232959877526,0.7929537513669374,0.7063677720606245,6.962459802627564,True
SRP,chunks_scenario_1,100,1,0.819047619047619,0.8140908856981112,0.809733329294398,0.8100720846440895,0.7211306981439777,0.9297852516174316,True
SRP,chunks_scenario_1,100,10,0.8932767624020888,0.8827850203443047,0.8796266801900673,0.8803797614682631,0.832644710925578,7.647244930267334,True
SRP,chunks_scenario_1,100,2,0.8562962962962963,0.8519068019719055,0.8532274182740576,0.8525184232301681,0.7807663717880893,1.726482391357422,True
SRP,chunks_scenario_1,100,3,0.876984126984127,0.8618707858985218,0.8666264030019261,0.8641110211332417,0.8057845717819552,2.6362762451171875,True
SRP,chunks_scenario_1,100,4,0.8762117822520508,0.8623828005938359,0.8645715193702811,0.863364986149629,0.8054311733512571,3.403595447540283,True
SRP,chunks_scenario_1,100,5,0.8789156626506024,0.8651207994526681,0.8685954124550617,0.8666667384902292,0.8101626640722345,4.169544458389282,True
SRP,chunks_scenario_1,100,6,0.8861283643892339,0.8737336736288145,0.8754090100936397,0.8742980206008775,0.8216213970388582,4.869455814361572,True
SRP,chunks_scenario_1,100,7,0.8825124265702666,0.8695565335891272,0.8691651418664686,0.8687427286016783,0.816064160483045,5.550195455551148,True
SRP,chunks_scenario_1,100,8,0.8867617107942973,0.8740878130778197,0.871468284881515,0.8719056413090672,0.8219096367999316,6.213258028030396,True
SRP,chunks_scenario_1,100,9,0.8908959537572254,0.8798510641683626,0.8774605022091188,0.8779333528447942,0.8289347858072942,6.960334539413452,True
SRP,chunks_scenario_1,100,1,0.819047619047619,0.8140908856981112,0.809733329294398,0.8100720846440895,0.7211306981439777,0.9917938709259032,True
SRP,chunks_scenario_1,100,10,0.8932767624020888,0.8827850203443047,0.8796266801900673,0.8803797614682631,0.832644710925578,7.633352279663086,True
